ensembl,gene_name,naive,4h,12h,24h
ENSMUSG00000054942,Miga1,32.56644589,32.19205087,26.15498477,30.9255685
ENSMUSG00000054951,9130008F23Rik,0.157360686,0.20907179,0.147863821,0.076635407
ENSMUSG00000054957,Gm9959,0,0,0,0.072910508
ENSMUSG00000054958,Nt5c1a,0,0,0,0
ENSMUSG00000054966,Lmntd1,0.226542624,0.098667016,0.08029321,0.132764741
ENSMUSG00000054967,Zfp647,1.688806037,1.385664024,2.72613744,2.916599794
ENSMUSG00000054976,Nyap2,0.029524285,0.020127093,0.011231214,0.015273519
ENSMUSG00000054978,Kbtbd13,0,0,0,0.014927161
ENSMUSG00000054986,Sec14l3,0.113264426,0.242660634,0.078246246,0.066564381
ENSMUSG00000054988,Agtr1b,0.152679158,0.260566662,0.198250186,0.168673664
ENSMUSG00000054994,AV320801,0.010052324,0,0.010626442,0.13336832
ENSMUSG00000054999,Naaladl1,0.14758913,0.577740751,0.678383253,0.498929404
ENSMUSG00000055003,Lrtm2,0.166250055,0.064226084,0.097482318,0.404490762
ENSMUSG00000055010,A830031A19Rik,0,0,0.025365275,0
ENSMUSG00000055013,Agap1,0.320366813,0.3529097,0.158555621,0.249329291
ENSMUSG00000055022,Cntn1,1.003728212,0.786422165,0.447966098,0.508916686
ENSMUSG00000055024,Ep300,45.15733989,42.1557115,31.2364418,31.82828975
ENSMUSG00000055026,Gabrg3,0.041706429,0.046718739,0.018815965,0.023132404
ENSMUSG00000055027,Smyd1,1.115391433,2.1901002,6.78986554,7.109936029
ENSMUSG00000055030,Sprr2e,0,0,0,0
ENSMUSG00000055033,Olfr420,0.434774162,0.42035414,0.294928704,0.203036565
ENSMUSG00000055041,Commd5,9.578805172,7.919555188,17.885362,17.30399745
ENSMUSG00000055044,Pdlim1,99.68711665,65.97812004,83.46787761,90.23094148
ENSMUSG00000055053,Nfic,5.225050363,2.325169051,2.181629456,2.994553103
ENSMUSG00000055065,Ddx17,152.3392224,165.9330037,106.4967386,93.5287637
ENSMUSG00000055067,Smyd3,15.18258627,14.78884726,19.11022445,18.42487709
ENSMUSG00000055069,Rab39,0.201417032,0.185736014,0.223818873,0.198739735
ENSMUSG00000055078,Gabra5,0,0,0,0
